title,link,date,description,source
Российский рынок акций растет во главе с нефтяниками,https://www.finam.ru/publications/item/rossiyskiy-rynok-aktsiy-rastet-vo-glave-s-neftyanikami-20260914-0931/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 09:31,"К текущему времени индекс МосБиржи повышается на 1,08%...<a href=""https://www.finam.ru/publications/item/rossiyskiy-rynok-aktsiy-rastet-vo-glave-s-neftyanikami-20260914-0931/?utm_source=rss&amp;utm_me",finam_rss
Мосбиржа увеличит время торгов - основные события 14 сентября,https://www.finam.ru/publications/item/mosbirzha-uvelichit-vremya-torgov-osnovnye-sobytiya-14-sentyabrya-20260914-0900/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 20:05,"Также сегодня акции “ДОМ.РФ” войдут в базу расчета индекса МосБиржи создания стоимости...<a href=""https://www.finam.ru/publications/item/mosbirzha-uvelichit-vremya-torgov-osnovnye-sobytiya-14-sentyabr",finam_rss
"Рынок растет - нефтяные бумаги лидируют, IMOEX выше 2300 пунктов",https://www.finam.ru/publications/item/rynok-otkrylsya-rostom-neftyanye-bumagi-lidiruyut-imoex-vyshe-2300-punktov-20260914-0813/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 08:13,"Brent поднялась почти до $108...<a href=""https://www.finam.ru/publications/item/rynok-otkrylsya-rostom-neftyanye-bumagi-lidiruyut-imoex-vyshe-2300-punktov-20260914-0813/?utm_source=rss&amp;utm_medium=",finam_rss
"Акции «Газпрома» на «СПБ Бирже» вечером в воскресенье прибавляют 3,5%",https://www.finam.ru/publications/item/aktsii-gazproma-na-spb-birzhe-vecherom-v-voskresene-pribavlyayut-35-20260913-1950/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-13 19:28,"Бумаги «Сбера» прибавляют 2%...<a href=""https://www.finam.ru/publications/item/aktsii-gazproma-na-spb-birzhe-vecherom-v-voskresene-pribavlyayut-35-20260913-1950/?utm_source=rss&amp;utm_medium=new_comp",finam_rss
Акции ВТБ растут на 3% в ходе воскресных торгов на «СПБ Бирже»,https://www.finam.ru/publications/item/aktsii-vtb-rastut-na-3-v-khode-voskresnykh-torgov-na-spb-birzhe-20260913-1019/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-13 10:07,"Акции компаний банковского и нефтегазового сектора в фаворитах...<a href=""https://www.finam.ru/publications/item/aktsii-vtb-rastut-na-3-v-khode-voskresnykh-torgov-na-spb-birzhe-20260913-1019/?utm_sour",finam_rss
"Торги на «СПБ бирже» завершились на оптимистичной ноте, акции «Русагро» взлетели почти на 9%",https://www.finam.ru/publications/item/torgi-na-spb-birzhe-zavershilis-na-optimistichnoy-note-aktsii-rusagro-vzleteli-pochti-na-9-20260912-2016/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-12 20:11,"«Газпром» и «НОВАТЭК» прибавили почти 3%...<a href=""https://www.finam.ru/publications/item/torgi-na-spb-birzhe-zavershilis-na-optimistichnoy-note-aktsii-rusagro-vzleteli-pochti-na-9-20260912-2016/?utm",finam_rss
Сколько пассажиров перевез «Аэрофлот» за лето-2026,https://www.finam.ru/publications/item/skolko-aeroflot-perevez-passazhirov-za-leto-2026-20260912-1115/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 12:22,"Москва, Санкт-Петербург и Сочи возглавили список самых популярных городов, через которые перевезено наибольшее количество пассажиров за июнь-август...<a href=""https://www.finam.ru/publications/item/sk",finam_rss
"Субботние торги на ""СПБ бирже"" проходят нейтрально, в лидерах ""НОВАТЭК""",https://www.finam.ru/publications/item/subbotnie-torgi-na-spb-birzhe-prokhodyat-neytralno-v-liderakh-novatek-20260912-1022/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-12 10:17,"На Московской бирже 12 и 13 сентября торгов не будет...<a href=""https://www.finam.ru/publications/item/subbotnie-torgi-na-spb-birzhe-prokhodyat-neytralno-v-liderakh-novatek-20260912-1022/?utm_source=r",finam_rss
Законопроект о санкциях против России планируется вынести на голосование в Палате представителей на следующей неделе,https://www.finam.ru/publications/item/zakonoproekt-o-sanktsiyakh-protiv-rossii-planiruetsya-vynesti-na-golosovanie-v-palate-predstaviteley-na-sleduyushchey-nedele-20260911-2101/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 20:54,"Ранее законопроект столкнулся с растущим сопротивлением в Палате представителей...<a href=""https://www.finam.ru/publications/item/zakonoproekt-o-sanktsiyakh-protiv-rossii-planiruetsya-vynesti-na-golos",finam_rss
Рынок провел неделю на качелях,https://www.finam.ru/publications/item/rynok-provel-nedelyu-na-kachelyakh-20260911-2052/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 20:52,"От геополитического оптимизма к жесткой паузе ЦБ...<a href=""https://www.finam.ru/publications/item/rynok-provel-nedelyu-na-kachelyakh-20260911-2052/?utm_source=rss&amp;utm_medium=new_compaigns&amp;new",finam_rss
"""Элемент"" запустил производство силовых модулей для зарядных станций электромобилей",https://www.finam.ru/publications/item/element-zapustil-proizvodstvo-silovykh-moduley-dlya-zaryadnykh-stantsiy-elektromobiley-20260911-1954/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 19:54,"Это первый в России проект такого уровня...<a href=""https://www.finam.ru/publications/item/element-zapustil-proizvodstvo-silovykh-moduley-dlya-zaryadnykh-stantsiy-elektromobiley-20260911-1954/?utm_sou",finam_rss
"Росстат подтвердил рост ВВП России во 2 квартале на 1,3%",https://www.finam.ru/publications/item/rosstat-podtverdil-rost-vvp-rossii-vo-2-kvartale-na-13-20260911-1945/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 19:45,"Наибольший вклад в рост внесли несколько отраслей...<a href=""https://www.finam.ru/publications/item/rosstat-podtverdil-rost-vvp-rossii-vo-2-kvartale-na-13-20260911-1945/?utm_source=rss&amp;utm_medium=",finam_rss
Рынок эмоционально пережил неизменность ключевой ставки,https://www.finam.ru/publications/item/rynok-emotsionalno-perezhil-neizmennost-klyuchevoy-stavki-20260911-1948/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 19:44,"Рубль воспринял решение ЦБ спокойнее...<a href=""https://www.finam.ru/publications/item/rynok-emotsionalno-perezhil-neizmennost-klyuchevoy-stavki-20260911-1948/?utm_source=rss&amp;utm_medium=new_compai",finam_rss
В России в августе зафиксирована дефляция,https://www.finam.ru/publications/item/v-rossii-v-avguste-zafiksirovana-deflyatsiya-20260911-1935/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 19:35,"Цены снизились на 0,08%...<a href=""https://www.finam.ru/publications/item/v-rossii-v-avguste-zafiksirovana-deflyatsiya-20260911-1935/?utm_source=rss&amp;utm_medium=new_compaigns&amp;news_to_finamb=new",finam_rss
«Сбер» и организации «Ростеха» рассматривают совместные девелоперские проекты в Индии,https://www.finam.ru/publications/item/sber-i-organizatsii-rostekha-rassmatrivayut-sovmestnye-developerskie-proekty-v-indii-20260911-1828/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 18:28,"«Сбер» обеспечит международные расчёты организаций «Ростеха»...<a href=""https://www.finam.ru/publications/item/sber-i-organizatsii-rostekha-rassmatrivayut-sovmestnye-developerskie-proekty-v-indii-2026",finam_rss
"ЦБ снизил официальный курс доллара на 12 сентября до 84,2569 рубля",https://www.finam.ru/publications/item/tsb-snizil-ofitsialnyy-kurs-dollara-na-12-sentyabrya-do-842569-rublya-20260911-1736/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 17:36,"Курс евро понижен до 97,8728 рубля...<a href=""https://www.finam.ru/publications/item/tsb-snizil-ofitsialnyy-kurs-dollara-na-12-sentyabrya-do-842569-rublya-20260911-1736/?utm_source=rss&amp;utm_medium=",finam_rss
"Страховая отрасль находится в очень устойчивом состоянии, считает ЦБ",https://www.finam.ru/publications/item/strakhovaya-otrasl-nakhoditsya-v-ochen-ustoychivom-sostoyanii-schitaet-tsb-20260911-1713/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 17:00,"ЦБ принял решение о докапитализации РНПК на 165 млрд рублей...<a href=""https://www.finam.ru/publications/item/strakhovaya-otrasl-nakhoditsya-v-ochen-ustoychivom-sostoyanii-schitaet-tsb-20260911-1713/?",finam_rss
«Сбер» представил GigaChat 3.5 Reasoning с режимом рассуждений,https://www.finam.ru/publications/item/sber-predstavil-gigachat-35-reasoning-s-rezhimom-rassuzhdeniy-20260911-1654/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 16:54,"Новая модель умеет не просто выдавать ответ, а самостоятельно выстраивать ход решения...<a href=""https://www.finam.ru/publications/item/sber-predstavil-gigachat-35-reasoning-s-rezhimom-rassuzhdeniy-20",finam_rss
"Эльвира Набиуллина рассказала, почему ЦБ продает золото",https://www.finam.ru/publications/item/elvira-nabiullina-rasskazala-pochemu-tsb-prodaet-zoloto-20260911-1645/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 16:41,"Россия в июле стала крупнейшим чистым продавцом золота...<a href=""https://www.finam.ru/publications/item/elvira-nabiullina-rasskazala-pochemu-tsb-prodaet-zoloto-20260911-1645/?utm_source=rss&amp;utm_m",finam_rss
"Профицит внешней торговли России в июле вырос на 13,4%",https://www.finam.ru/publications/item/profitsit-vneshney-torgovli-rossii-v-iyule-vyros-na-134-20260911-1623/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 16:19,"С начала 2026 года показатель вырос на 19,7%...<a href=""https://www.finam.ru/publications/item/profitsit-vneshney-torgovli-rossii-v-iyule-vyros-na-134-20260911-1623/?utm_source=rss&amp;utm_medium=new_",finam_rss
"Влияние атак на логистические цепочки на инфляцию пока незначительное, считает ЦБ",https://www.finam.ru/publications/item/vliyanie-atak-na-logisticheskie-tsepochki-na-inflyatsiyu-poka-neznachitelno-schitaet-tsb-20260911-1556/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 15:53,"Об этом рассказала Эльвира Набиуллина...<a href=""https://www.finam.ru/publications/item/vliyanie-atak-na-logisticheskie-tsepochki-na-inflyatsiyu-poka-neznachitelno-schitaet-tsb-20260911-1556/?utm_sour",finam_rss
ЦБ не планирует повышать таргет по инфляции,https://www.finam.ru/publications/item/tsb-ne-planiruet-povyshat-target-po-inflyatsii-20260911-1529/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 15:28,"Сейчас цель ЦБ - 4%...<a href=""https://www.finam.ru/publications/item/tsb-ne-planiruet-povyshat-target-po-inflyatsii-20260911-1529/?utm_source=rss&amp;utm_medium=new_compaigns&amp;news_to_finamb=new_c",finam_rss
Российская экономика растет в рамках прогноза ЦБ,https://www.finam.ru/publications/item/rossiyskaya-ekonomika-rastet-v-ramkakh-prognoza-tsb-20260911-1518/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 15:17,"Данные за 1 полугодие и 3 квартал подтверждают это...<a href=""https://www.finam.ru/publications/item/rossiyskaya-ekonomika-rastet-v-ramkakh-prognoza-tsb-20260911-1518/?utm_source=rss&amp;utm_medium=ne",finam_rss
ЦБ на заседании 11 сентября предметно обсуждал сохранение ставки,https://www.finam.ru/publications/item/tsb-na-zasedanii-11-sentyabrya-predmetno-obsuzhdal-sokhranenie-stavki-20260911-1513/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 15:10,"Снижение содержательно не обсуждалось...<a href=""https://www.finam.ru/publications/item/tsb-na-zasedanii-11-sentyabrya-predmetno-obsuzhdal-sokhranenie-stavki-20260911-1513/?utm_source=rss&amp;utm_medi",finam_rss
"Сохранение ключевой ставки – техническая пауза, считает Аксаков",https://www.finam.ru/publications/item/sokhranenie-klyuchevoy-stavki-tekhnicheskaya-pauza-schitaet-aksakov-20260911-1436/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 14:34,"В случае ослабления инфляционного давления к концу года ключевая ставка может опуститься до 13,5%...<a href=""https://www.finam.ru/publications/item/sokhranenie-klyuchevoy-stavki-tekhnicheskaya-pauza-s",finam_rss
"ЦБ принял ожидаемое решение по ставке, рынок снижается",https://www.finam.ru/publications/item/tsb-prinyal-ozhidaemoe-reshenie-po-stavke-rynok-snizhaetsya-20260911-1413/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 14:13,"Инвесторы ожидают продолжения паузы в снижении ставки до конца года на фоне сохраняющихся инфляционных и геополитических рисков...<a href=""https://www.finam.ru/publications/item/tsb-prinyal-ozhidaemoe",finam_rss
VK работает над снижением долговой нагрузки,https://www.finam.ru/publications/item/vk-rabotaet-nad-snizheniem-dolgovoy-nagruzki-20260911-1346/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 13:44,"За 1,5 года чистый долг VK сократился более чем в 3 раза...<a href=""https://www.finam.ru/publications/item/vk-rabotaet-nad-snizheniem-dolgovoy-nagruzki-20260911-1346/?utm_source=rss&amp;utm_medium=new",finam_rss
"Проинфляционные риски в России выросли, преобладая над дезинфляционными на среднесрочном горизонте",https://www.finam.ru/publications/item/proinflyatsionnye-riski-v-rossii-vyrosli-preobladaya-nad-dezinflyatsionnymi-na-srednesrochnom-gorizonte-20260911-1340/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 13:40,"Денежно-кредитные условия оцениваются как умеренно жесткие...<a href=""https://www.finam.ru/publications/item/proinflyatsionnye-riski-v-rossii-vyrosli-preobladaya-nad-dezinflyatsionnymi-na-srednesrochn",finam_rss
Индекс МосБиржи резко упал после решения ЦБ по ставке,https://www.finam.ru/publications/item/indeks-mosbirzhi-rezko-upal-posle-resheniya-tsb-po-stavke-20260911-1335/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 13:23,"При этом рубль отреагировал небольшим укреплением...<a href=""https://www.finam.ru/publications/item/indeks-mosbirzhi-rezko-upal-posle-resheniya-tsb-po-stavke-20260911-1335/?utm_source=rss&amp;utm_medi",finam_rss
"Текущее ценовое давление, по оценкам ЦБ, существенно усилилось в последние месяцы",https://www.finam.ru/publications/item/tekushchee-tsenovoe-davlenie-po-otsenkam-tsb-sushchestvenno-usililos-v-poslednie-mesyatsy-20260911-1334/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 13:34,"В базовом сценарии с учетом проводимой денежно-кредитной политики годовая инфляция составит 6,0–7,0%...<a href=""https://www.finam.ru/publications/item/tekushchee-tsenovoe-davlenie-po-otsenkam-tsb-sush",finam_rss
"Банк России сохранил ключевую ставку на уровне 14%, прервав цикл снижения",https://www.finam.ru/publications/item/bank-rossii-sokhranil-klyuchevuyu-stavku-na-urovne-14-prervav-tsikl-snizheniya-20260911-1321/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 13:21,"До этого ЦБ снижал ставку 10 заседаний подряд с июня 2025 года...<a href=""https://www.finam.ru/publications/item/bank-rossii-sokhranil-klyuchevuyu-stavku-na-urovne-14-prervav-tsikl-snizheniya-20260911",finam_rss
«Эксперт РА» снизил кредитный рейтинг МГКЛ до уровня ruB,https://www.finam.ru/publications/item/ekspert-ra-snizil-kreditnyy-reyting-mgkl-do-urovnya-rub-20260911-1320/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 13:20,"Ранее у компании действовал рейтинг на уровне ruBB- со стабильным прогнозом...<a href=""https://www.finam.ru/publications/item/ekspert-ra-snizil-kreditnyy-reyting-mgkl-do-urovnya-rub-20260911-1320/?utm",finam_rss
Акционеры «Диасофта» утвердили дивиденды за 1 полугодие 2026 года в размере 16 рублей на акцию,https://www.finam.ru/publications/item/aktsionery-diasofta-utverdili-dividendy-za-1-polugodie-2026-goda-v-razmere-16-rubley-na-aktsiyu-20260911-1244/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 12:40,"В общей сложности выплаты составят 168 млн рублей...<a href=""https://www.finam.ru/publications/item/aktsionery-diasofta-utverdili-dividendy-za-1-polugodie-2026-goda-v-razmere-16-rubley-na-aktsiyu-2026",finam_rss
"Объем вторичных торгов облигациями на Мосбирже в августе вырос на 32,1%",https://www.finam.ru/publications/item/obem-vtorichnykh-torgov-obligatsiyami-na-mosbirzhe-v-avguste-vyros-na-321-20260911-1239/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 12:39,"Показатель составил 1,5 трлн рублей...<a href=""https://www.finam.ru/publications/item/obem-vtorichnykh-torgov-obligatsiyami-na-mosbirzhe-v-avguste-vyros-na-321-20260911-1239/?utm_source=rss&amp;utm_me",finam_rss
Страны БРИКС являются основными покупателями удобрений из России,https://www.finam.ru/publications/item/strany-briks-yavlyayutsya-osnovnymi-pokupatelyami-udobreniy-iz-rossii-20260911-1218/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 12:18,"«Фосагро» намерена в текущем году побить рекорд по экспорту удобрений в Эфиопию...<a href=""https://www.finam.ru/publications/item/strany-briks-yavlyayutsya-osnovnymi-pokupatelyami-udobreniy-iz-rossii-",finam_rss
АКРА подтвердило кредитный рейтинг ММК на уровне АA+(RU),https://www.finam.ru/publications/item/akra-podtverdilo-kreditnyy-reyting-mmk-na-urovne-aaru-20260911-1153/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 11:53,"Прогноз по рейтингу – «стабильный»...<a href=""https://www.finam.ru/publications/item/akra-podtverdilo-kreditnyy-reyting-mmk-na-urovne-aaru-20260911-1153/?utm_source=rss&amp;utm_medium=new_compaigns&am",finam_rss
Positive Technologies приобрела долю в компании в сфере кибербезопасности CyberOK,https://www.finam.ru/publications/item/positive-technologies-priobrela-dolyu-v-kompanii-v-sfere-kiberbezopasnosti-cyberok-20260911-1144/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 11:44,"Инвестиция позволит ускорить развитие защиты внешнего периметра...<a href=""https://www.finam.ru/publications/item/positive-technologies-priobrela-dolyu-v-kompanii-v-sfere-kiberbezopasnosti-cyberok-202",finam_rss
"Стоимость риска по корпоративным кредитам в «Сбере» растет, но не критично, заявил Греф",https://www.finam.ru/publications/item/stoimost-riska-po-korporativnym-kreditam-v-sbere-rastet-no-ne-kritichno-zayavil-gref-20260911-1128/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 11:28,"Конец года ожидается непростым...<a href=""https://www.finam.ru/publications/item/stoimost-riska-po-korporativnym-kreditam-v-sbere-rastet-no-ne-kritichno-zayavil-gref-20260911-1128/?utm_source=rss&amp;",finam_rss
"Группа «Аэрофлот» в августе снизила перевозки пассажиров на 1,3%",https://www.finam.ru/publications/item/gruppa-aeroflot-v-avguste-snizila-perevozki-passazhirov-na-13-20260911-1109/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 11:09,"За 8 месяцев перевозки снизились на 0,1%...<a href=""https://www.finam.ru/publications/item/gruppa-aeroflot-v-avguste-snizila-perevozki-passazhirov-na-13-20260911-1109/?utm_source=rss&amp;utm_medium=ne",finam_rss
"Инвесторы осторожничают, в лидерах падения акции «Озон»",https://www.finam.ru/publications/item/investory-ostorozhnichayut-v-liderakh-padeniya-aktsii-ozon-20260911-1026/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 10:26,"В ожидании решения по ставке трейдеры не спешат рисковать, имеет место и коррекция после вчерашнего ралли...<a href=""https://www.finam.ru/publications/item/investory-ostorozhnichayut-v-liderakh-padeni",finam_rss
